angry0,angry1,angry2,box0,box1,box2,disgust0,disgust1,disgust2,fear0,fear1,fear2,happy0,happy1,happy2,neutral0,neutral1,neutral2,sad0,sad1,sad2,surprise0,surprise1,surprise2
0.05,0.01,,"[371, 139, 438, 512]","[452, 604, 105, 146]",,0.0,0.0,,0.06,0.13,,0.0,0.16,,0.75,0.64,,0.13,0.04,,0.0,0.01,
0.03,,,"[391, 154, 396, 440]",,,0.0,,,0.13,,,0.0,,,0.69,,,0.13,,,0.01,,
0.03,,,"[373, 135, 434, 516]",,,0.0,,,0.08,,,0.0,,,0.77,,,0.12,,,0.01,,
0.04,,,"[370, 131, 434, 521]",,,0.0,,,0.11,,,0.0,,,0.69,,,0.14,,,0.02,,
0.11,,,"[364, 134, 440, 525]",,,0.0,,,0.1,,,0.0,,,0.6,,,0.17,,,0.02,,
0.07,,,"[394, 159, 404, 480]",,,0.0,,,0.12,,,0.0,,,0.68,,,0.11,,,0.01,,
0.07,,,"[380, 143, 428, 489]",,,0.0,,,0.09,,,0.0,,,0.7,,,0.13,,,0.0,,
0.04,,,"[396, 149, 418, 502]",,,0.0,,,0.06,,,0.0,,,0.81,,,0.09,,,0.01,,
0.03,,,"[402, 155, 411, 490]",,,0.0,,,0.05,,,0.0,,,0.85,,,0.06,,,0.01,,
0.06,0.02,,"[385, 129, 434, 528]","[471, 602, 87, 121]",,0.0,0.0,,0.1,0.11,,0.0,0.11,,0.73,0.66,,0.11,0.08,,0.01,0.02,
0.03,0.01,,"[389, 124, 437, 531]","[448, 590, 113, 160]",,0.0,0.0,,0.06,0.09,,0.0,0.49,,0.82,0.34,,0.07,0.03,,0.01,0.03,
